City,Temperature (F),Humidity (%),Clouds(% Cloudy),Windspeed (mph),Latitude,Longitude,Country,Date-Time
berlevag,24.58,74,75,25.32,70.8578,29.0864,NO,1612733639
ushuaia,62.6,55,75,6.91,-54.8,-68.3,AR,1612733485
vaini,78.8,89,75,13.8,-21.2,-175.2,TO,1612733584
mataura,67.14,50,98,3.09,-46.1927,168.8643,NZ,1612733561
butaritari,81.28,80,93,19.15,3.0707,172.7902,KI,1612733607
rio gallegos,68,40,0,23.02,-51.6226,-69.2181,AR,1612734007
hobart,54.91,54,40,12.66,-42.8794,147.3294,AU,1612733509
albany,29.37,71,100,1.25,42.6001,-73.9662,US,1612733342
saint-philippe,76.41,74,90,13.6,-21.3585,55.7679,RE,1612733588
soto,85.69,47,0,1.99,-32.8107,-61.4026,AR,1612734011
noumea,80.24,78,0,3.44,-22.2763,166.4572,NC,1612733912
punta arenas,73.4,21,0,14.97,-53.15,-70.9167,CL,1612733588
port alfred,66.99,95,100,9.69,-33.5906,26.891,ZA,1612733591
new norfolk,53.15,67,50,1.01,-42.7826,147.0587,AU,1612733561
rikitea,77.65,72,97,13.13,-23.1203,-134.9692,PF,1612733591
marsaxlokk,62.69,72,0,12.66,35.8419,14.5431,MT,1612734018
jamestown,14,73,90,14.97,42.097,-79.2353,US,1612733532
kaitangata,68,66,100,5.01,-46.2817,169.8464,NZ,1612733667
ancud,78.71,30,0,5.75,-41.8697,-73.8203,CL,1612733637
manicore,79.45,93,95,2.06,-5.8092,-61.3003,BR,1612734023
goure,72,15,0,3,13.9835,10.2704,NE,1612734024
sorland,32,69,40,12.66,67.667,12.6934,NO,1612733463
thompson,-25.6,68,75,17.27,55.7435,-97.8558,CA,1612733575
alegrete,79.21,54,0,7.52,-29.7831,-55.7919,BR,1612734028
namibe,72.99,75,100,4.43,-15.1961,12.1522,AO,1612733599
nikolskoye,16.25,86,75,13.42,59.7035,30.7861,RU,1612733593
manutuke,72,61,10,3,-38.6833,177.9167,NZ,1612734031
upernavik,18.34,79,2,2.84,72.7868,-56.1549,GL,1612733377
bredasdorp,64.4,68,5,5.75,-34.5322,20.0403,ZA,1612733370
arraial do cabo,73.4,88,75,6.91,-22.9661,-42.0278,BR,1612733320
tasiilaq,26.6,50,0,14.97,65.6145,-37.6368,GL,1612733374
kununurra,78.8,100,40,3.44,-15.7667,128.7333,AU,1612734037
coolum beach,74.7,85,55,3,-26.5333,153.1,AU,1612733598
tual,83.52,78,100,18.7,-5.6667,132.75,ID,1612733942
liverpool,35.19,60,90,17.27,53.4106,-2.9779,GB,1612734034
isangel,78.8,83,20,5.77,-19.55,169.2667,VU,1612733606
gwadar,65.43,56,0,6.64,25.1216,62.3254,PK,1612734043
alofi,84.2,74,40,12.66,-19.0595,-169.9187,NU,1612733620
pisco,74.44,73,75,10.36,-13.7,-76.2167,PE,1612733390
soderhamn,12.99,91,3,5.93,61.3037,17.0592,SE,1612734046
faanui,81.1,77,2,13,-16.4833,-151.75,PF,1612733472
atuona,79.63,74,24,20.87,-9.8,-139.0333,PF,1612733498
hilo,75.49,50,1,3.44,19.7297,-155.09,US,1612733521
svetlyy,6.8,78,0,6.71,54.675,20.1347,RU,1612734051
georgetown,79.11,83,20,1.14,5.4112,100.3354,MY,1612733368
broome,24.91,63,40,12.66,42.2506,-75.833,US,1612733683
salalah,73.4,68,75,4.61,17.0151,54.0924,OM,1612733645
faya,56.3,44,0,11.5,18.3851,42.4509,SA,1612734056
tiksi,-28.37,86,37,5.44,71.6872,128.8694,RU,1612733466
cidreira,74.41,65,0,9.1,-30.1811,-50.2056,BR,1612733372
busselton,61.61,99,84,1.01,-33.65,115.3333,AU,1612733561
husavik,32,74,90,3.44,66.0449,-17.3389,IS,1612733448
birao,63.61,28,77,5.66,10.2849,22.7882,CF,1612734061
kyabe,70.61,19,45,4.76,9.4515,18.9449,TD,1612734063
baykit,28.33,95,99,7.16,61.67,96.37,RU,1612734064
ingraj bazar,57.38,62,0,7.56,25,88.15,IN,1612734065
sitka,35.6,32,1,1.39,57.0531,-135.33,US,1612733584
kurumkan,1.69,88,100,2.37,54.3,110.3,RU,1612733677
ballina,73.67,65,40,12.66,-28.8667,153.5667,AU,1612733641
